Age,Male,Female
0,76.33,81.11
1,76.81,81.54
2,76.84,81.57
3,76.86,81.59
4,76.88,81.6
5,76.89,81.61
6,76.9,81.62
7,76.91,81.63
8,76.92,81.64
9,76.93,81.64
10,76.94,81.65
11,76.94,81.66
12,76.95,81.66
13,76.96,81.67
14,76.97,81.68
15,76.99,81.69
16,77.02,81.7
17,77.05,81.72
18,77.08,81.73
19,77.13,81.75
20,77.18,81.77
21,77.24,81.8
22,77.3,81.82
23,77.37,81.85
24,77.44,81.87
25,77.51,81.9
26,77.58,81.93
27,77.65,81.96
28,77.72,81.99
29,77.79,82.03
30,77.86,82.06
31,77.93,82.1
32,78,82.13
33,78.07,82.17
34,78.15,82.21
35,78.22,82.25
36,78.29,82.29
37,78.37,82.34
38,78.44,82.39
39,78.52,82.44
40,78.6,82.49
41,78.68,82.55
42,78.76,82.61
43,78.85,82.67
44,78.95,82.74
45,79.04,82.81
46,79.15,82.88
47,79.26,82.96
48,79.38,83.05
49,79.51,83.14
50,79.64,83.24
51,79.79,83.34
52,79.94,83.45
53,80.11,83.57
54,80.29,83.7
55,80.47,83.83
56,80.67,83.96
57,80.87,84.1
58,81.09,84.25
59,81.32,84.4
60,81.55,84.56
61,81.79,84.72
62,82.04,84.89
63,82.3,85.07
64,82.57,85.25
65,82.84,85.44
66,83.12,85.63
67,83.4,85.84
68,83.7,86.06
69,84.01,86.29
70,84.32,86.53
71,84.66,86.78
72,85,87.05
73,85.36,87.34
74,85.73,87.63
75,86.11,87.94
76,86.51,88.26
77,86.93,88.6
78,87.36,88.96
79,87.81,89.33
80,88.28,89.73
81,88.76,90.14
82,89.27,90.58
83,89.8,91.04
84,90.34,91.52
85,90.91,92.01
86,91.5,92.53
87,92.11,93.08
88,92.74,93.64
89,93.4,94.23
90,94.08,94.85
91,94.79,95.5
92,95.52,96.18
93,96.27,96.88
94,97.05,97.61
95,97.85,98.37
96,98.68,99.16
97,99.53,99.96
98,100.39,100.79
99,101.27,101.63
100,102.15,102.48
101,103.04,103.33
102,103.93,104.19
103,104.83,105.06
104,105.73,105.93
105,106.63,106.81
106,107.54,107.69
107,108.45,108.58
108,109.36,109.47
109,110.28,110.37
110,111.2,111.27
111,112.13,112.18
112,113.05,113.09
113,113.98,114.01
114,114.92,114.93
115,115.86,115.86
116,116.79,116.79
117,117.74,117.74
118,118.68,118.68
119,119.63,119.63
